Date,Open,High,Low,Close,Volume,Adj Close
2011-04-01,17.416667938232422,17.453332901000977,17.30666732788086,17.376667022705078,23879700,12.78379249572754
2011-04-04,17.43666648864746,17.610000610351562,17.35333251953125,17.549999237060547,27660300,12.911311149597168
2011-04-05,17.566667556762695,17.729999542236328,17.55666732788086,17.579999923706055,26605200,12.93338108062744
2011-04-06,17.55666732788086,17.73666763305664,17.55666732788086,17.65999984741211,25095300,12.992233276367188
2011-04-07,17.616666793823242,17.746667861938477,17.583332061767578,17.666667938232422,36501300,12.997142791748049
2011-04-08,17.670000076293945,17.71666717529297,17.42333221435547,17.51333236694336,29199900,12.884337425231934
2011-04-11,17.51333236694336,17.639999389648438,17.46666717529297,17.606666564941406,22400100,12.953001022338867
2011-04-12,17.56333351135254,17.916667938232422,17.55666732788086,17.84000015258789,40248900,13.12465763092041
2011-04-13,17.906667709350586,17.98666763305664,17.833332061767578,17.876667022705078,25788900,13.15163516998291
2011-04-14,17.82666778564453,17.913333892822266,17.739999771118164,17.833332061767578,22244400,13.119752883911133
2011-04-15,17.850000381469727,17.89666748046875,17.766666412353516,17.850000381469727,26143800,13.13201904296875
2011-04-18,17.69333267211914,17.883333206176758,17.636667251586914,17.770000457763672,28522200,13.073162078857422
2011-04-19,17.753332138061523,17.823333740234375,17.700000762939453,17.78333282470703,18443400,13.08297348022461
2011-04-20,17.916667938232422,17.983333587646484,17.8799991607666,17.89666748046875,22202400,13.166354179382324
2011-04-21,17.940000534057617,17.976667404174805,17.80666732788086,17.860000610351562,17559900,13.139373779296877
2011-04-25,17.866666793823242,17.886667251586914,17.74333381652832,17.790000915527344,17441400,13.087876319885254
2011-04-26,17.796667098999023,18.07666778564453,17.760000228881836,17.969999313354492,35973600,13.220300674438477
2011-04-27,17.959999084472656,18.203332901000977,17.959999084472656,18.13999938964844,29148300,13.345367431640623
2011-04-28,18.09666633605957,18.26666641235352,18.09333229064941,18.229999542236328,29473800,13.411577224731444
2011-04-29,18.13666725158692,18.38666725158692,18.11000061035156,18.32666778564453,29445600,13.48269271850586
2011-05-02,18.36000061035156,18.36000061035156,18.22333335876465,18.34666633605957,24530100,13.497414588928224
2011-05-03,18.36000061035156,18.59000015258789,18.31999969482422,18.48666763305664,33367800,13.600409507751465
2011-05-04,18.43666648864746,18.59666633605957,18.39999961853028,18.456666946411133,24491400,13.578333854675291
2011-05-05,18.38333320617676,18.53333282470703,18.296667098999023,18.356666564941406,33390300,13.50476360321045
2011-05-06,18.433332443237305,18.51666641235352,18.286666870117188,18.34000015258789,24127800,13.49250602722168
2011-05-09,18.32333374023437,18.453332901000977,18.233333587646484,18.36666679382324,19639500,13.512126922607422
2011-05-10,18.38333320617676,18.53333282470703,18.36666679382324,18.51000022888184,26265300,13.617570877075195
2011-05-11,18.3700008392334,18.536666870117188,18.34666633605957,18.38999938964844,28266600,13.618803024291992
2011-05-12,18.413333892822266,18.61000061035156,18.303333282470703,18.57333374023437,26850000,13.754576683044434
2011-05-13,18.59000015258789,18.676666259765625,18.446666717529297,18.57333374023437,26857500,13.754576683044434
2011-05-16,18.536666870117188,18.82333374023437,18.49333381652832,18.68666648864746,42520500,13.83850383758545
2011-05-17,18.520000457763672,18.76333236694336,18.413333892822266,18.51333236694336,43771500,13.7101411819458
2011-05-18,18.5,18.51333236694336,18.31666755676269,18.3933334350586,34248300,13.621271133422852
2011-05-19,18.40999984741211,18.53333282470703,18.34666633605957,18.49333381652832,23075400,13.695329666137695
2011-05-20,18.51666641235352,18.56333351135254,18.3933334350586,18.43000030517578,26396700,13.648430824279783
2011-05-23,18.32999992370605,18.5,18.32999992370605,18.406667709350582,22018200,13.631149291992188
2011-05-24,18.413333892822266,18.43666648864746,18.203332901000977,18.26000022888184,36721800,13.52253532409668
2011-05-25,18.209999084472656,18.233333587646484,18.06666755676269,18.18666648864746,30593400,13.468226432800291
2011-05-26,18.176666259765625,18.233333587646484,18.06333351135254,18.206666946411133,17315100,13.48303508758545
2011-05-27,18.25,18.36333274841309,18.206666946411133,18.233333587646484,15946500,13.50278377532959
2011-05-31,18.293333053588867,18.406667709350582,18.270000457763672,18.406667709350582,26703300,13.631149291992188
2011-06-01,18.32666778564453,18.38999938964844,18.08333206176757,18.100000381469727,33544800,13.404043197631836
2011-06-02,18.06999969482422,18.06999969482422,17.71666717529297,17.850000381469727,44354700,13.218908309936523
2011-06-03,17.71666717529297,17.950000762939453,17.68000030517578,17.886667251586914,39862200,13.246057510375977
2011-06-06,17.953332901000977,18.06333351135254,17.833332061767578,17.920000076293945,33726900,13.270748138427734
2011-06-07,17.979999542236328,18.100000381469727,17.92333221435547,17.94333267211914,29724900,13.288023948669434
2011-06-08,17.8700008392334,17.97333335876465,17.809999465942383,17.89666748046875,34981800,13.253470420837402
2011-06-09,17.90999984741211,18.07666778564453,17.8700008392334,17.873332977294922,34022400,13.236183166503906
2011-06-10,17.889999389648438,17.946666717529297,17.56333351135254,17.573333740234375,43756200,13.014022827148438
2011-06-13,17.636667251586914,17.75,17.52666664123535,17.540000915527344,37635300,12.98933219909668
2011-06-14,17.6200008392334,17.753332138061523,17.59000015258789,17.636667251586914,26392200,13.060918807983398
2011-06-15,17.546667098999023,17.546667098999023,17.26333236694336,17.440000534057617,45972000,12.915279388427734
2011-06-16,17.48666763305664,17.656667709350586,17.399999618530273,17.610000610351562,35231100,13.041171073913574
2011-06-17,17.68666648864746,17.76333236694336,17.606666564941406,17.606666564941406,61692900,13.038702964782717
2011-06-20,17.566667556762695,17.833332061767578,17.566667556762695,17.68000030517578,45594300,13.093009948730469
2011-06-21,17.700000762939453,17.76333236694336,17.583332061767578,17.76333236694336,32673000,13.154725074768066
2011-06-22,17.700000762939453,17.76333236694336,17.610000610351562,17.670000076293945,31747500,13.085606575012209
2011-06-23,17.786666870117188,17.899999618530273,17.55666732788086,17.76333236694336,54463200,13.154725074768066
2011-06-24,17.729999542236328,17.80666732788086,17.450000762939453,17.469999313354492,62301300,12.937492370605469
2011-06-27,17.440000534057617,17.586666107177734,17.42333221435547,17.43000030517578,30501000,12.90787410736084
2011-06-28,17.479999542236328,17.510000228881836,17.3799991607666,17.510000228881836,32963100,12.967123031616213
2011-06-29,17.540000915527344,17.59666633605957,17.476667404174805,17.546667098999023,26600400,12.994267463684082
2011-06-30,17.553333282470703,17.719999313354492,17.516666412353516,17.713333129882812,29952900,13.11769199371338
2011-07-01,17.729999542236328,17.883333206176758,17.666667938232422,17.836666107177734,28439400,13.209033012390137
